budget	link	location	post_date	propose_amount	title	view	content	office	time_limit	owner_positive
5千~1萬	http://case.518.com.tw/casepage-detail-121928.html?from=google&a_id=3471	台北市	2017-03-03	3	woocommerce結帳頁面客製化	722	"1.案件說明：
我們希望您能把我們woocommerce的結帳頁面客製化
把wordpress的header去除並且在woocommerce加上機制讓7-11和全家等超商當使用者選取單號後，能夠接收回傳店家代號，已經有程..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	30 天 【急件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-115095.html?from=google&a_id=3471	不拘	2017-03-03	8	影像資料庫建置	1372	"1.案件內容：影像網頁系統開發與整合
(1)	權限管理
(2)	群組管理
(3)	使用者管理
系統開發 -- 數位典藏查詢模組
(1)	分類管理
(2)	數位資料管理
2.配合時間：20個工作天內
3.配合地點：..欲查看案件詳細內容，請先登入或免費註冊"		60 天 【一般案件】	低
5千~1萬	http://case.518.com.tw/casepage-detail-118720.html?from=google&a_id=3471	台北市	2017-03-02	42	商城女裝美編設計人員(長期配合)	2196	"1.案件說明：商城流行女裝促銷banner edm 企劃美編設計
2.配合時間：3-7天完成 每週更新一次
3.配合地點：有經驗的工作室或個人 需有相關經驗 
4.注意事項：需自主 企劃文案及設計 我..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【長期合作】 (註:尋找日後配合人選)	低
5千~1萬	http://case.518.com.tw/casepage-detail-120398.html?from=google&a_id=3471	台中市	2017-03-02	16	舊有網站優化	1786	"1.案件說明：(1)既有網站優化+(2)網站動態影片+(3)客戶留言+(4)SEO
           優化:版面清析,整潔.
           動態影片:可於網頁上播放小視窗影片.(類似YOUTUBE影片)
           客戶..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【一般案件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-115079.html?from=google&a_id=3471	不拘	2017-03-02	36	PHP網頁程式設計	3599	"1.案件說明：希望尋找長期配合工程師
2.配合時間：長期合作
3.配合地點：在家 或 工作室
4.注意事項：
要有責任感與耐心 , 沒有把握完成者 , 請勿嚐試
請 CASE BY CASE 與 公司行號 ..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【長期合作】 (註:尋找日後配合人選)	中
5千~1萬	http://case.518.com.tw/casepage-detail-121738.html?from=google&a_id=3471	不拘	2017-03-01	12	網頁設計	512	"1.案件內容：需會購物車，會員系統，RWD,php程式或WordPress皆可
2.配合時間：長期配合
3.配合地點：台北
4.注意事項：預算********0欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	30 天 【長期合作】 (註:尋找日後配合人選)	低
5千~1萬	http://case.518.com.tw/casepage-detail-116766.html?from=google&a_id=3471	不拘	2017-03-01	26	網頁風格及排板設計	1986	"現有網站主要服務外國客戶，現需要開展中國市場，故需要另外設計一個符合中國人喜好的排板及設計。

1. 可參考現有網站 www.tradeocoin.com
2. 排板可換/不換皆可
3. 網站為金融行業
4...欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【長期合作】 (註:尋找日後配合人選)	中
5千~1萬	http://case.518.com.tw/casepage-detail-121632.html?from=google&a_id=3471	不拘	2017-03-01	37	服飾網拍商品上架、修圖	1145	"＊案件說明：網路拍賣平台服飾上架，修圖和維護．
＊配合時間：每年3-6月和9-12月，每周都會有10-15款新款上架．
＊注意事項：
1. 熟悉 yahoo 拍賣上架平台．
2. 會提供圖片、版型和文..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【一般案件】	低
1萬~5萬	http://case.518.com.tw/casepage-detail-117626.html?from=google&a_id=3471	台中市	2017-03-01	4	網頁設計駐點設計師	1057	"1.案件說明：協助網站設計及RWD切版，
2.配合時間：每週至少二天需進公司協助專案內容
(討論網頁排版及修改事項及跟工程師討論切版事宜)
3.配合地點：需到公司，有桌機，公司在台中高工附..欲查看案件詳細內容，請先登入或免費註冊"	須定期至指定公司	30 天 【一般案件】	低
1萬~5萬	http://case.518.com.tw/casepage-detail-115080.html?from=google&a_id=3471	不拘	2017-03-01	20	ASP.NET(C#) 程式設計	3107	"1.案件說明：希望尋找長期配合工程師
2.配合時間：長期合作
3.配合地點：在家 或 工作室
4.注意事項：(其它注意事項)
要有責任感與耐心 , 沒有把握完成者 , 請勿嚐試
請 CASE BY CAS..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	60 天 【長期合作】 (註:尋找日後配合人選)	中
5千以內	http://case.518.com.tw/casepage-detail-119747.html?from=google&a_id=3471	不拘	2017-03-01	20	美編網頁購物行銷頁	1908	"1.案件內容：美編網路產品介紹 修圖 圖案文字，不使用純文字 會提供產品圖或是實體拍攝
2.配合時間：週一到週五1900:23:00，六日時間彈性
3.配合地點：線上，新北市五股 新莊 泰山 林口..欲查看案件詳細內容，請先登入或免費註冊"		30 天 【一般案件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-115187.html?from=google&a_id=3471	新北市	2017-03-01	33	長期配合網頁美編人員	3147	"配合時間：長期合作

1. 拍賣平台banner設計、產品圖片和文案編輯、網頁框架設計
2. 提案方需有高質感美工能力將全部畫面與網頁框架設計整合完成
 在電腦或手機的任何瀏覽器任何解析度，..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	60 天 【一般案件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-120329.html?from=google&a_id=3471	台南市	2017-02-28	19	問卷分析網站程式設計	1853	"配合地點不拘，案件金額、完成時間這都需詳談。
案件說明：需求以下功能
 一、前台受測
   A.基本資料輸入頁面
   B.問卷測試提幕頁面
 二、後台
   A.受測者基本資料
   B.資料數..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	30 天 【長期合作】 (註:尋找日後配合人選)	中
1萬~5萬	http://case.518.com.tw/casepage-detail-117576.html?from=google&a_id=3471	台北市	2017-02-28	15	棋友棋力資料庫查詢系統	890	"1.案件說明：
(1)供人輸入姓名即可查詢該棋士棋力等訊息
欄位：棋士姓名、段位、等級分、稱號、認證單位、認證日期、證書、附註
(2)供任何人編輯，像維基百科一樣，任何人只要申請都可以成..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	30 天 【一般案件】	低
5千以內	http://case.518.com.tw/casepage-detail-118699.html?from=google&a_id=3471	高雄市	2017-02-28	12	冷凍水產品社團經營	1234	"1.案件說明：案件說明：
1. 粉絲團行銷及發文
- 提高粉絲互動及維護高討論人氣
- 提升粉絲數量
- 建置粉絲團內容
- 規劃及執行臉書廣告行銷活動以提升曝光率&討論度 
2. 整體網路行銷規..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	3 天 【長期合作】 (註:尋找日後配合人選)	低
80萬~100萬	http://case.518.com.tw/casepage-detail-116199.html?from=google&a_id=3471	不拘	2017-02-28	26	網頁的美編與後方系統連結	2575	"1.案件內容：APP與網站各一
2.配合時間：均可
3.配合地點：新北市
4.注意事項：歡迎您來電09*******8欲查看案件詳細內容，請先登入或免費註冊"		30 天 【一般案件】	中
5千以內	http://case.518.com.tw/casepage-detail-120562.html?from=google&a_id=3471	台中市	2017-02-28	13	套版網路商店	1591	"配合時間：預計2017年02月底前完成驗收
案件說明： 
1. 在現有的套版網路商店製作編寫
2. 只設計會員系統管理等機制
3. 開發工具不拘(php、asp、html…)
注意事項：
1. 初期討論方式..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	60 天 【長期合作】 (註:尋找日後配合人選)	中
